rel_id,person_id,director_name,director_born,movie_id,movie_title,movie_released
1152922604118474757,5,Lilly Wachowski,1967,0,The Matrix,1999
1152922604118474758,6,Lana Wachowski,1965,0,The Matrix,1999
6917530127152709641,5,Lilly Wachowski,1967,9,The Matrix Reloaded,2003
6919781926966394889,6,Lana Wachowski,1965,9,The Matrix Reloaded,2003
6917530127152709642,5,Lilly Wachowski,1967,10,The Matrix Revolutions,2003
6919781926966394890,6,Lana Wachowski,1965,10,The Matrix Revolutions,2003
1152922604118474766,14,Taylor Hackford,1944,11,The Devil's Advocate,1997
1152922604118474779,27,Rob Reiner,1947,15,A Few Good Men,1992
1152922604118474787,35,Tony Scott,1944,29,Top Gun,1986
1152922604118474797,45,Cameron Crowe,1957,37,Jerry Maguire,2000
6917530127152709678,27,Rob Reiner,1947,46,Stand By Me,1986
1152922604118474807,55,James L. Brooks,1940,52,As Good as It Gets,1997
1152922604118474813,61,Vincent Ward,1956,56,What Dreams May Come,1998
1152922604118474818,66,Scott Hicks,1953,62,Snow Falling on Cedars,1999
1152922604118474824,72,Nora Ephron,1941,67,You've Got Mail,1998
6917530127152709705,72,Nora Ephron,1941,73,Sleepless in Seattle,1993
1152922604118474831,79,John Patrick Stanley,1950,78,Joe Versus the Volcano,1990
6917530127152709713,27,Rob Reiner,1947,81,When Harry Met Sally,1998
6917530127152709717,68,Tom Hanks,1956,85,That Thing You Do,1996
1152922604118474843,91,Howard Deutch,1950,87,The Replacements,2000
6917530127152709724,59,Werner Herzog,1942,92,RescueDawn,2006
1152922604118474848,96,Mike Nichols,1931,95,The Birdcage,1996
1152922604118474851,99,Clint Eastwood,1930,97,Unforgiven,1992
1152922604118474856,104,Robert Longo,1953,100,Johnny Mnemonic,1995
6917530127152709737,5,Lilly Wachowski,1967,105,Cloud Atlas,2012
6919781926966394985,6,Lana Wachowski,1965,105,Cloud Atlas,2012
1152922604118474860,108,Tom Tykwer,1965,105,Cloud Atlas,2012
1152922604118474867,115,Ron Howard,1954,111,The Da Vinci Code,2006
6917530127152709748,25,James Marshall,1967,116,V for Vendetta,2006
6917530127152709753,5,Lilly Wachowski,1967,121,Speed Racer,2008
6919781926966395001,6,Lana Wachowski,1965,121,Speed Racer,2008
6917530127152709760,25,James Marshall,1967,128,Ninja Assassin,2009
1152922604118474888,136,Frank Darabont,1959,130,The Green Mile,1999
6917530127152709769,115,Ron Howard,1954,137,Frost/Nixon,2008
1152922604118474894,142,Danny DeVito,1944,141,Hoffa,1992
6917530127152709776,115,Ron Howard,1954,144,Apollo 13,1995
1152922604118474901,149,Jan de Bont,1943,147,Twister,1996
1152922604118474903,151,Robert Zemeckis,1951,150,Cast Away,2000
1152922604118474905,153,Milos Forman,1932,152,One Flew Over the Cuckoo's Nest,1975
1152922604118474908,156,Nancy Meyers,1949,154,Something's Gotta Give,2003
1152922604118474910,158,Chris Columbus,1958,157,Bicentennial Man,1999
6917530127152709791,96,Mike Nichols,1931,159,Charlie Wilson's War,2007
6917530127152709793,151,Robert Zemeckis,1951,161,The Polar Express,2004
1152922604118474918,166,Penny Marshall,1943,162,A League of Their Own,1992
1155174403932160099,99,Clint Eastwood,1930,171,The Bridges of Madison County,1995
